c,D,C_f,primes,is_ppp
5384581877,-21538327507,9.2700,410,0
3860549081,-15442196323,9.1746,440,0
854032997,-3416131987,9.1302,457,0
1655941871,-6623767483,9.1262,431,1
2216047511,-8864190043,9.1007,406,0
4123735151,-16494940603,9.0905,395,0
6152302421,-24609209683,9.0730,417,0
3594642341,-14378569363,9.0663,448,0
9510142841,-38040571363,9.0345,416,0
1616420411,-6465681643,9.0166,409,0
2816208611,-11264834443,9.0011,438,0
2563771907,-10255087627,8.9976,399,0
757566701,-3030266803,8.9930,421,0
2464724147,-9858896587,8.9842,425,0
1208310197,-4833240787,8.9787,441,0
2910943157,-11643772627,8.9561,410,0
640552931,-2562211723,8.9470,429,0
1823925401,-7295701603,8.9469,416,0
2361263351,-9445053403,8.9428,408,0
3708752471,-14835009883,8.9369,394,0
8962106171,-35848424683,8.9231,398,0
2074607807,-8298431227,8.9128,423,0
750503681,-3002014723,8.9059,426,0
6242001587,-24968006347,8.9058,387,0
2366078081,-9464312323,8.9041,423,0
1663075481,-6652301923,8.9031,422,0
909317681,-3637270723,8.8993,424,0
5267853401,-21071413603,8.8894,413,0
1705851437,-6823405747,8.8843,404,0
3841184771,-15364739083,8.8745,387,0
3083912597,-12335650387,8.8731,416,0
2146027727,-8584110907,8.8723,409,0
873896117,-3495584467,8.8719,429,0
1203812627,-4815250507,8.8601,432,0
3373370081,-13493480323,8.8541,426,0
1420756817,-5683027267,8.8537,410,0
783827897,-3135311587,8.8478,416,0
1016793977,-4067175907,8.8395,429,0
5289977501,-21159910003,8.8334,391,0
3112628327,-12450513307,8.8318,411,0
2025812207,-8103248827,8.8317,382,0
1534178771,-6136715083,8.8228,416,0
5738862587,-22955450347,8.8225,408,0
909822071,-3639288283,8.8221,410,0
4228252241,-16913008963,8.8187,407,0
398878547,-1595514187,8.8164,444,0
4546155527,-18184622107,8.8132,415,0
3527875931,-14111503723,8.8113,382,0
1354703717,-5418814867,8.8110,413,0
1130540351,-4522161403,8.8092,409,0
606622397,-2426489587,8.8039,433,0
8452477961,-33809911843,8.7899,378,0
1247826947,-4991307787,8.7891,429,0
441239921,-1764959683,8.7866,446,0
3092955947,-12371823787,8.7845,401,0
3820122401,-15280489603,8.7744,416,0
4370775317,-17483101267,8.7698,371,0
390033857,-1560135427,8.7675,425,0
7465017227,-29860068907,8.7671,382,0
2454239297,-9816957187,8.7654,391,0
1125776777,-4503107107,8.7632,408,0
3494523161,-13978092643,8.7619,396,0
7244227007,-28976908027,8.7547,376,0
1346443997,-5385775987,8.7468,407,0
3979473341,-15917893363,8.7457,391,0
730954577,-2923818307,8.7441,424,0
6319219871,-25276879483,8.7416,385,0
789776411,-3159105643,8.7384,426,0
1701969077,-6807876307,8.7370,411,0
1966227941,-7864911763,8.7354,416,0
5099505527,-20398022107,8.7344,378,0
1052058041,-4208232163,8.7319,408,0
1330963157,-5323852627,8.7317,414,1
6479997737,-25919990947,8.7315,395,0
2598428837,-10393715347,8.7211,404,0
492591221,-1970364883,8.7204,433,0
7038674177,-28154696707,8.7179,390,0
3187500581,-12750002323,8.7072,405,0
8753824967,-35015299867,8.7071,383,0
6353502371,-25414009483,8.6972,390,0
5624937737,-22499750947,8.6948,403,0
1028941007,-4115764027,8.6941,418,0
3227227427,-12908909707,8.6903,409,0
4729414367,-18917657467,8.6879,385,0
4967956307,-19871825227,8.6844,385,0
2452081757,-9808327027,8.6836,406,0
2598738797,-10394955187,8.6835,401,0
5186171591,-20744686363,8.6818,377,0
7846088291,-31384353163,8.6809,396,0
4078923461,-16315693843,8.6807,412,1
3728877401,-14915509603,8.6786,416,0
4690959941,-18763839763,8.6769,408,0
9560552537,-38242210147,8.6724,387,0
4406970077,-17627880307,8.6712,378,0
1320200171,-5280800683,8.6691,434,0
941731781,-3766927123,8.6687,416,0
4486641827,-17946567307,8.6656,395,0
3840413867,-15361655467,8.6634,370,0
1162360931,-4649443723,8.6623,433,0
9099973691,-36399894763,8.6608,364,0
